Solvent_system,Solvent_ratio,Solvent_ST_mNm,Solvent_BP_C,Solvent_density_gmL
DCE,NR,31.86,83.5,1.253
DCM,NR,27.84,39.6,1.325
DMF,10:0,36.76,153.0,0.944
DMF,NR,36.76,153.0,0.944
DMF/THF,7:3,33.651999999999994,126.89999999999999,0.9275
DMF/THF,3:7,29.507999999999996,92.1,0.9055
DMF/THF,5:5,31.58,109.5,0.9165
DMF/acetone,NR,30.11,104.55,0.864
DMF/acetone,10:90,24.79,65.79,0.8
DMF/acetone,10:90_v/v,24.79,65.79,0.8
DMF/acetone,3:1_v/v,33.435,128.775,0.9039999999999999
TFE,NR,21.08,74.0,1.393
THF,NR,26.4,66.0,0.889
THF/acetone,3:2 v/v,25.223999999999997,62.040000000000006,0.847
acetic_acid,NR,27.1,118.1,1.049
acetic_acid/formic_acid,2:1_v/v,30.623333333333335,112.33333333333331,1.1059999999999999
acetic_acid/water,8/2 v/v,36.080000000000005,114.48,1.0392
acetic_acid/water,9:1,31.59,116.28999999999999,1.0441
acetic_acid/water,NR,49.55,109.05,1.0245
acetic_acid/water,20:80_v/v,63.02,103.62,1.0098
acetic_acid/water,80:20_v/v,36.080000000000005,114.48,1.0392
acetone,NR,23.46,56.1,0.784
acetone/acetic_acid,70:30,24.552,74.69999999999999,0.8634999999999999
chloroform,NR,27.14,61.2,1.489
chloroform/acetone,6:4,25.668,59.16,1.207
chloroform/acetone,3:1,26.22,59.925000000000004,1.31275
chloroform/acetone,4:6,24.932000000000002,58.14,1.066
chloroform/acetone,5:5,25.3,58.650000000000006,1.1365
chloroform/acetone,7:3,26.035999999999998,59.669999999999995,1.2775
chloroform/acetone,8:2,26.404000000000003,60.18000000000001,1.348
chloroform/acetone,80:20,26.404000000000003,60.18000000000001,1.348
chloroform/acetone,3:1 v/v,26.22,59.925000000000004,1.31275
chloroform/acetone,8:2 v/v,26.404000000000003,60.18000000000001,1.348
chloroform/acetone,9:1,26.772000000000002,60.690000000000005,1.4185
chloroform/ethanol,3:1,25.9525,65.5,1.314
chloroform/ethanol,3:1 v/v,25.9525,65.5,1.314
dimethyl_carbonate,NR,28.5,90.0,1.069
ethanol,NR,22.39,78.4,0.789
ethyl_acetate,NR,23.75,77.1,0.902
formic_acid,NR,37.67,100.8,1.22
formic_acid/dichloromethane,3:2,,,
isopropyl_alcohol,NR,21.22,82.6,0.786
isopropyl_alcohol/water,70:30,36.45399999999999,87.82,0.8502000000000001
methanol,NR,22.5,64.7,0.791
tetrahydronaphthalene/cyclohexanone,NR,33.825,181.64999999999998,0.9584999999999999
toluene,NR,28.52,110.6,0.867
water,NR,72.0,100.0,1.0
